timeonetask,counts
1.8,2
1.9,1
2.0,3
2.1,1
2.2,2
2.3,2
2.4,1
2.5,3
2.6,4
2.7,3
2.8,1
2.9,4
3.0,9
3.1,2
3.2,10
3.3,10
3.4,13
3.5,15
3.6,19
3.7,19
3.8,23
3.9,10
4.0,38
4.1,21
4.2,26
4.3,36
4.4,31
4.5,29
4.6,34
4.7,43
4.8,54
4.9,34
5.0,99
5.1,30
5.2,63
5.3,59
5.4,47
5.5,97
5.6,53
5.7,71
5.8,82
5.9,40
6.0,213
6.1,38
6.2,98
6.3,91
6.4,82
6.5,150
6.6,81
6.7,100
6.8,130
6.9,65
7.0,366
7.1,60
7.2,79
7.3,199
7.4,105
7.5,217
7.6,97
7.7,158
7.8,153
7.9,83
8.0,639
8.1,92
8.2,185
8.3,139
8.4,137
8.5,297
8.6,124
8.7,168
8.8,176
8.9,90
9.0,883
9.1,100
9.2,219
9.3,181
9.4,137
9.5,347
9.6,144
9.7,206
9.8,223
9.9,121
10.0,1240
10.1,112
10.2,239
10.3,213
10.4,162
10.5,436
10.6,164
10.7,257
10.8,270
10.9,126
11.0,1622
11.1,127
11.2,247
11.3,256
11.4,176
11.5,514
11.6,192
11.7,251
11.8,282
11.9,123
12.0,1890
12.1,137
12.2,262
12.3,281
12.4,193
12.5,569
12.6,195
12.7,242
12.8,265
12.9,135
13.0,2144
13.1,142
13.2,298
13.3,283
13.4,228
13.5,578
13.6,195
13.7,276
13.8,315
13.9,146
14.0,2466
14.1,156
14.2,299
14.3,299
14.4,227
14.5,609
14.6,233
14.7,321
14.8,346
14.9,152
15.0,2578
15.1,177
15.2,167
15.3,432
15.4,244
15.5,646
15.6,245
15.7,299
15.8,321
15.9,165
16.0,2816
16.1,150
16.2,331
16.3,316
16.4,219
16.5,710
16.6,232
16.7,307
16.8,340
16.9,157
17.0,2978
17.1,166
17.2,366
17.3,340
17.4,227
17.5,663
17.6,217
17.7,305
17.8,351
17.9,134
18.0,3217
18.1,166
18.2,346
18.3,341
18.4,233
18.5,752
18.6,244
18.7,322
18.8,334
18.9,176
19.0,3250
19.1,168
19.2,360
19.3,314
19.4,259
19.5,749
19.6,244
19.7,301
19.8,370
19.9,162
20.0,3454
20.1,178
20.2,344
20.3,288
20.4,254
20.5,764
20.6,231
20.7,299
20.8,368
20.9,157
21.0,3571
21.1,173
21.2,362
21.3,321
21.4,267
21.5,689
21.6,263
21.7,351
21.8,351
21.9,169
22.0,3732
22.1,160
22.2,366
22.3,332
22.4,246
22.5,723
22.6,269
22.7,316
22.8,329
22.9,151
23.0,3625
23.1,151
23.2,339
23.3,307
23.4,256
23.5,770
23.6,252
23.7,332
23.8,319
23.9,151
24.0,3728
24.1,141
24.2,335
24.3,307
24.4,245
24.5,769
24.6,239
24.7,347
24.8,320
24.9,174
25.0,3749
25.1,175
25.2,374
25.3,341
25.4,234
25.5,815
25.6,240
25.7,289
25.8,348
25.9,161
26.0,3801
26.1,147
26.2,331
26.3,341
26.4,217
26.5,746
26.6,232
26.7,324
26.8,309
26.9,140
27.0,3735
27.1,145
27.2,315
27.3,327
27.4,247
27.5,746
27.6,233
